1	Sin personal a cargo	4. Operadores	TITULAR MINERO	GEOLOGIA	RAURA								4	5	4	5	5	5	4	4	4	5	5	4	4	4	4	4	5	4	3	2	4	4	4	3	4	4	5	4	4	4				
2	Sin personal a cargo	4. Operadores	TITULAR MINERO	GEOLOGIA	RAURA								3	2	4	4	4	4	3	3	4	5	5	5	3	5	3	3	4	5	4	3	3	4	5	4	4	4	3	3	4	4				Comentarios por redes sociales
3	Sin personal a cargo	4. Operadores	TITULAR MINERO	GEOLOGIA	RAURA								3	3	4	4	4	4	4	4	4	3	4	5	2	4	4	3	4	4	4	4	3	3	3	4	3	4	3	3	4	4				Las zonas seguras en caso de sismos
4	Sin personal a cargo	2. Asistentes	TITULAR MINERO	GEOLOGIA	RAURA								5	4	4	5	5	5	4	5	4	5	5	5	5	5	4	5	5	5	4	4	5	4	4	4	4	4	4	5	4	4				
5	Sin personal a cargo	2. Asistentes	TITULAR MINERO	GEOLOGIA	RAURA								4	4	4	5	5	4	4	4	4	5	5	5	4	5	4	4	5	4	3	3	4	3	4	4	4	4	4	4	4	4				Uso de las escaleras
6	Con personal a cargo	2. Supervisores	TITULAR MINERO	GEOLOGIA	RAURA								3	4	5	5	4	4	4	5	4	5	4	5	5	5	5	5	5	5	4	3	4	3	4	4	5	5	5	5	4	4				
7	Con personal a cargo	2. Supervisores	TITULAR MINERO	GEOLOGIA	RAURA								3	4	3	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3	3	4	3	3	3	4	4	4	4	4	4				
8	Con personal a cargo	1. Superintendentes	TITULAR MINERO	GEOLOGIA	RAURA								5	5	3	5	4	5	4	4	5	5	5	5	4	4	4	5	5	5	4	5	4	4	4	3	5	5	5	4	5	5				
9	Con personal a cargo	3. Jefes de Área	TITULAR MINERO	GEOLOGIA	RAURA								5	5	4	5	5	5	4	4	5	5	5	5	4	5	4	5	5	5	4	5	5	5	2	4	4	5	5	5	5	5				Uso de extintores en el condomio y uso de los 3 puntos de apoyo.
10	Con personal a cargo	2. Supervisores	TITULAR MINERO	GEOLOGIA	RAURA								5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	4	5	5	5	5	4	5	5	5	5	4	4				Pisos resbalosos, usar tres puntos de apoyo, caminar sin el celular.
11	Sin personal a cargo	1. Ingenieros	TITULAR MINERO	GEOLOGIA	RAURA								2	4	4	4	4	4	4	4	4	4	5	5	5	5	4	5	4	3	4	1	4	4	4	4	4	5	4	4	5	5				Conversamos sobre la importancia de seguridad
12	Sin personal a cargo	1. Ingenieros	TITULAR MINERO	GEOLOGIA	RAURA								5	4	4	5	5	5	5	5	4	5	5	5	4	5	5	4	5	5	4	3	5	5	4	4	5	4	5	5	4	4				Uso correcto de epps
13	Con personal a cargo	2. Supervisores	TITULAR MINERO	GEOLOGIA	RAURA								3	4	5	5	4	4	4	5	4	5	4	5	5	5	5	5	5	5	4	3	4	3	4	4	5	5	5	5	4	4				
14	Con personal a cargo	1. Gerentes	TITULAR MINERO	GERENCIA	RAURA								4	4	4	4	5	4	4	5	4	5	5	5	4	5	5	4	4	4	4	5	4	4	5	5	5	5	4	4	4	4				Ubicaión del gas propano (lejos de la cocina)
