N°,Área,Fecha,Personal de dirección,Empresa,Nombre de Empresa o Contrata ,1. Los líderes realizan actividades para fortalecer el compromiso de los trabajadores con la seguridad.,"2. Las medidas correctivas establecidas como resultado de auditorías, fiscalizaciones e inspecciones se cumplen dentro del plazo programado.",3.Las normas de seguridad son respetadas de la misma forma por personal propio y contratistas.,4.Los líderes demuestran comportamientos seguros en su día a día.,5.Los líderes se involucran en las actividades de seguridad.,"6. Los líderes cumplen las normas, estándares y procedimientos de seguridad y salud ocupacional.",7. Los líderes gestionan oportunamente las necesidades o requerimientos de seguridad.,8.  Los líderes supervisan la integración de la seguridad al proceso productivo en las labores diarias.,9.Los líderes corrigen las condiciones inseguras en campo.,"10.Aplico mi derecho a decir que ""No"", cuando es necesario.",11. Detengo mi tarea cuando surge un riesgo que no puedo controlar.,12. Me coloco los equipos de protección personal completos al iniciar una tarea.,"13. Los líderes involucran a los trabajadores en la revisión del IPERC (Identificación de peligros, evaluación de riesgos y controles).",14.En esta empresa se reportan los actos y condiciones subestándar.,15. Todos los estándares y procedimientos son cumplidos sin distinción por el personal propio y contratista.,"16.Los líderes mantienen informados a sus trabajadores en relación a cambios, logros, actividades en general.",17. Puedo hablar con mi superior abiertamente sobre temas de seguridad.,18.El líder comunica avances de la gestión del área y escucha inquietudes de su equipo.,19.Los valores corporativos son entendidos por los trabajadores.,20.Los empleados disponen de buzón u otro mecanismo para plantear ideas y sugerencias para mejorar la seguridad.,21. El comité de seguridad y salud ocupacional mantiene informados a los trabajadores sobre sus actividades.,22. Existen mecanismos efectivos para que los trabajadores propongan mejoras de seguridad en las operaciones.,23.La empresa aplica reconocimientos por desempeño seguro.,"24.Cuando se evidencia el incumplimiento de una norma, se aplican sanciones de acuerdo con el reglamento interno de trabajo.",25.La empresa evalúa el desempeño en seguridad.,26.La capacitación anual obligatoria de seguridad y salud ocupacional que brindan en mi área es efectiva.,27.El comité de seguridad y salud en el trabajo tiene participación en propuestas de mejora.,"28.La empresa realiza mejoras a su infraestructura, herramientas, equipos de trabajo de acuerdo con requerimientos identificados.","29.¿Has identificado los peligros, riesgos y controles a los que está expuesto en casa, los compartes con tu familia?",COMENTARIOS
83,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,4,2,3,4,4,4,4,3,5,4,5,5,4,3,3,3,3,3,3,3,2,4,3,3,2,2,2,3,5,
84,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,3,5,4,4,5,4,3,2,5,4,5,5,4,4,4,3,5,5,4,2,3,2,4,4,5,4,3,4,4,Siempre ver primero nuestra integridad 
85,Mina,11/04/2026,Ingenieros,Empresa contratista,Unitec,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,4,4,4,4,5,3,3,3,5,5,3,3,4,5,
86,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,4,3,4,3,4,4,4,4,3,4,3,4,5,5,4,4,5,4,4,5,4,4,4,4,3,3,3,4,4,
87,Mina,11/04/2026,Colaboradores,Empresa contratista,Unitec,4,4,4,4,2,3,3,3,4,5,5,5,3,4,4,5,5,4,4,4,2,4,2,1,4,4,2,2,5,
88,Mina,11/04/2026,Asistentes,Empresa contratista,Unitec,4,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,La seguridad es muy importante y debemos practicarlo ya sea en el trabajo como en la vida cotidiana
89,Mina,11/04/2026,Ingenieros,Empresa contratista,Unitec,4,4,4,5,4,4,4,4,4,5,4,5,5,4,5,4,5,4,4,2,4,4,4,5,4,4,5,4,4,Siempre comunicamos un peligro que puede existir
90,Mina,10/04/2026, Jefe de zona,Empresa contratista,Unitec,4,4,4,5,4,5,4,5,4,5,5,5,5,3,5,5,4,4,3,4,4,5,3,4,3,4,4,4,5,Siempre se realizan los trabajaos con seguridad
91,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,
92,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,3,1,3,4,2,4,2,5,5,5,4,5,3,2,2,3,4,3,2,2,2,2,3,3,3,2,2,
93,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,2,1,3,4,3,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,2,2,4,3,3,3,3,Donde quiera que vamos es con seguridad
94,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,2,3,2,3,3,3,3,5,5,5,3,4,4,2,2,2,3,1,2,2,1,2,2,2,3,2,4,
95,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,2,3,3,3,2,3,3,3,2,4,4,3,4,3,3,4,3,4,3,2,2,3,3,3,2,3,2,4,
96,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,4,3,4,4,4,4,5,5,4,4,5,4,4,3,4,3,4,4,2,3,2,3,4,5,3,3,5,
97,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,3,2,2,2,2,2,3,3,3,3,3,3,Tenemos que mejorar cada dia 
98,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,2,1,2,3,3,2,2,3,4,4,4,3,4,2,3,3,2,3,3,2,1,4,3,4,4,3,4,"Donde sea que vamos, siempre con seguirdad "
99,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,4,3,4,4,4,5,5,4,5,5,5,5,5,5,5,4,5,4,5,3,5,4,3,5,3,5,4,3,3,
100,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,5,4,3,3,3,3,3,3,3,4,5,4,4,3,3,4,4,3,3,3,2,2,4,3,4,3,2,4,Si al momento de bajar las escaleras y manipular los artefactos
101,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,1,1,1,3,3,3,3,3,3,3,5,3,3,1,1,3,2,5,1,1,1,2,5,3,1,1,1,1,
102,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,1,3,2,2,2,1,1,1,4,4,5,4,2,3,1,2,1,2,1,1,1,3,1,2,4,4,4,4,
103,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,1,2,3,3,3,3,3,3,4,3,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,5,Los de compañia obligan la seguridad cuando sus trabajadores no lo hacen 
104,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,3,2,3,3,3,3,4,4,5,5,2,4,3,4,2,4,5,3,3,4,4,5,5,4,4,3,5,
105,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,3,2,2,1,2,2,2,1,5,5,5,3,5,5,2,3,2,3,3,3,3,5,3,3,2,3,3,5,
106,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,2,3,2,2,2,3,5,3,5,5,5,5,5,5,3,5,4,4,4,5,5,3,4,5,5,5,5,5,
107,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,2,2,1,5,5,4,4,1,5,5,5,2,5,3,2,1,3,5,1,1,5,5,5,5,3,3,5,5,
108,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,2,3,3,4,2,2,1,3,4,
109,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,2,2,3,3,3,3,2,5,3,5,5,2,5,4,2,4,2,4,2,4,4,4,4,3,3,4,3,1,
110,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,2,1,2,2,3,3,3,2,3,5,2,4,3,3,3,3,4,1,1,3,3,3,2,3,3,2,5,
111,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,4,4,2,2,2,2,3,2,5,4,3,3,5,4,3,3,2,4,2,2,2,4,5,2,2,4,2,4,
112,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,3,2,2,3,3,3,3,2,2,4,3,4,3,4,3,3,4,3,4,3,1,3,2,4,2,2,4,
113,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,4,5,5,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,
114,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,4,4,5,4,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,
115,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,2,5,3,4,3,4,4,4,5,5,5,4,5,5,4,4,4,5,3,4,4,5,4,5,5,4,5,5,
116,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,3,2,3,2,3,3,2,2,2,3,5,5,5,5,5,2,3,5,3,5,5,4,3,5,5,5,5,5,
117,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,5,4,4,4,5,5,5,4,4,5,5,4,5,4,4,4,5,4,4,4,3,2,2,2,3,3,3,3,5,
118,Mina,12/04/2026,Supervisores,Empresa contratista,Aesa,4,3,4,4,4,3,3,4,3,4,4,5,3,4,3,4,5,4,3,3,3,3,4,4,4,3,3,3,3,
119,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,4,2,3,3,3,3,3,2,4,5,5,5,3,3,5,3,4,3,3,3,3,4,3,3,4,3,3,5,
120,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,1,4,4,4,4,5,3,2,4,5,4,5,5,5,5,5,5,4,5,1,3,2,4,5,5,1,1,3,5,
121,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,2,4,3,4,4,4,3,3,4,5,5,5,3,5,5,4,5,4,5,2,3,1,4,5,5,2,2,3,3,"mejorar ventilacion, mejorar pasar el monoxido de los equipos"
122,Mina,12/04/2026,Colaboradores,Empresa contratista,Aesa,3,2,1,1,2,3,2,2,3,5,5,3,3,3,2,1,2,3,3,2,2,1,2,1,2,2,1,1,4,
